region;project_number;lineshort;feature;ctn
proj0;15743;24joared;OTHER;28191
proj0;15743;24joared;MELO;351
proj0;15743;24joared;pLIN;217
proj0;15743;24joared;MIFE;101
proj0;15743;24joared;COAT-IMP;64
proj0;15743;24joared;CRAC;13
proj0;15743;24joared;LIN;12
proj0;14369;30tuccas;OTHER;480873
proj0;14369;30tuccas;MIFE;386
proj0;14369;30tuccas;MELO-CORR;368
proj0;14369;30tuccas;pLIN;144
proj0;14369;30tuccas;LS;143
proj0;14369;30tuccas;INST;132
proj0;14369;30tuccas;COAT-IMP;100
proj0;14369;30tuccas;CRAC;71
proj0;14369;30tuccas;LIN;40
proj0;14369;30tuccas;NOTH;22
proj0;15923;24wooree;OTHER;5024
proj0;15923;24wooree;LS-FEAT;1566
proj0;15923;24wooree;MELO;939
proj0;15923;24wooree;pLIN;268
proj0;15923;24wooree;MIFE;246
proj0;15923;24wooree;COAT-IMP;242
proj0;15923;24wooree;CRAC;136
proj0;15923;24wooree;LS-pLIN;90
proj0;15923;24wooree;LS-CRAC;15
proj0;15923;24wooree;NOTH;7
proj0;15923;24wooree;CRAC-C;5
proj0;15923;24wooree;LS-LIN;2
proj0;15923;24wooree;CRAC-GRP;2
proj1;12761;22snilca;PIFE-NOTC;87569
proj1;12761;22snilca;OTHER;44579
proj1;12761;22snilca;MELO;3758
proj1;12761;22snilca;NOTH;2115
proj1;12761;22snilca;pLIN;1061
proj1;12761;22snilca;MIFE;827
proj1;12761;22snilca;LS-MIFE;504
proj1;12761;22snilca;LS-MELO;197
proj1;12761;22snilca;LIN;128
proj1;12761;22snilca;CRAC;93
proj1;12761;22snilca;LS-LIN;44
proj1;12761;22snilca;LS-pLIN;43
proj1;12761;22snilca;LS-CRAC;15
proj1;12761;22snilca;MELO-CORR;11
proj0;12542;30305306;PIFE-NOTC;12839
proj0;12542;30305306;MIFE;4587
proj0;12542;30305306;MELO-CORR;2844
proj0;12542;30305306;LS;1979
proj0;12542;30305306;NOTH;1481
proj0;12542;30305306;UNKWN;1240
proj0;12542;30305306;LS-MIFE;234
proj0;12542;30305306;INST;100
proj0;12542;30305306;LS-MELO;68
proj0;12542;30305306;OTHER;9
proj0;12542;30305306;LS-IND;9
proj0;12542;30305306;pLS-IND;4
proj0;12542;30305306;LIN;3
proj0;12542;30305306;LIN-GRP;3
proj0;12542;30305306;MELO-MIFE;1
proj0;15914;26792822;OTHER;146138
proj0;15914;26792822;MELO;2652
proj0;15914;26792822;MIFE;1003
proj0;15914;26792822;pLIN;365
proj0;15914;26792822;NOTH;322
proj0;15914;26792822;LS-pLIN;268
proj0;15914;26792822;LS-MIFE;191
proj0;15914;26792822;LIN;118
proj0;15914;26792822;CRAC;75
proj0;15914;26792822;COAT-IMP;69
proj0;15914;26792822;LS-LIN;26
proj0;15914;26792822;LS-CRAC;8
proj0;15914;26792822;LS-MELO;5
proj0;15914;26792822;CRAC-GRP;3
proj0;15914;26792822;LIN-GRP;2
proj0;15914;26792822;PIFE-NOTC;1